eligible_voters,voters,CDU,SPD,GRUENE,FDP,AFD,LINKE,SONSTIGE,location_address,location_id,latitude,longitude
0,529,207,114,59,57,56,14,18,Briefwahl Ellhofen,25.8125024.B901,49.1459677,9.3206802
1527,747,227,155,49,66,165,48,24,Grundschule im Rot,26.8125026.101,49.13697,8.90696
1479,791,249,190,54,69,145,33,31,Grundschule im Rot,26.8125026.102,49.13697,8.90696
1082,562,142,143,46,62,106,28,22,Grundschule im Rot,26.8125026.103,49.13697,8.90696
1284,712,248,149,42,43,148,39,29,Hellbergschule Eppingen,26.8125026.104,49.1315968,8.9141526
1184,607,219,138,44,42,102,31,23,Hellbergschule Eppingen,26.8125026.105,49.1315968,8.9141526
895,543,184,107,37,40,117,32,18,Hellbergschule Eppingen,26.8125026.106,49.1315968,8.9141526
1037,620,261,105,28,44,133,16,23,Dorfgem.haus Adelshofen,26.8125026.207,49.1654546,8.8932948
1407,790,300,162,63,67,131,29,27,Feuerwehr Elsenz,26.8125026.308,49.17499,8.83578
1305,810,267,199,71,75,116,37,34,Rathaus Kleingartach,26.8125026.409,49.09930749999999,8.972476799999999
1594,992,342,241,77,99,159,31,27,Grundschule Mühlbach,26.8125026.510,49.1000162,8.89978
1224,766,242,153,57,81,143,42,37,Feuerwehrgerätehaus Richen,26.8125026.611,49.1706408,8.940375
1289,766,334,132,52,72,120,26,18,Rathaus Rohrbach,26.8125026.712,49.142624,9.218359
0,2979,1180,582,230,250,488,92,127,Briefwahl Eppingen,26.8125026.B901,49.1379832,8.9092339
1201,733,339,138,43,69,77,17,46,Rathaus,27.8125027.101,49.142624,9.218359
1281,811,341,156,63,90,101,23,27,Kindergarten Hüttenäcker,27.8125027.102,49.1752468,9.267984
1325,835,316,180,60,95,112,34,20,Kindergarten Binswangen,27.8125027.103,49.17367429999999,9.2577732
0,788,327,160,55,95,96,14,39,Briefwahl Erlenbach,27.8125027.B901,49.173117,9.264693699999999
1398,909,339,204,92,65,138,26,28,Neues Rathaus,28.8125034.101,49.142624,9.218359
1172,694,234,163,65,73,89,24,31,Kindergarten Wiesenstraße,28.8125034.102,49.1563419,8.9794915
1103,696,206,179,49,64,120,39,23,Grundschule Stebbach,28.8125034.203,49.15707,8.989080099999999
0,557,221,119,46,70,57,17,26,Briefwahl Gemmingen,28.8125034.B901,49.1555624,8.9811199
955,506,176,177,15,34,58,28,10,Rathaus Sitzungssaal,29.8125039.101,49.15922680000001,9.1719292
958,565,192,203,19,20,88,17,18,Kindergarten Regenbogen,29.8125039.102,49.1223245,9.154850099999999
1070,604,182,237,20,33,93,21,9,Kindergarten Theresienstraße,29.8125039.103,49.12935710000001,9.204991699999999
347,204,51,79,7,13,35,10,4,Böttingen,29.8125039.204,49.2898472,9.1452175
480,331,154,77,4,28,51,7,4,Tiefenbach,29.8125039.305,49.29905830000001,9.2023416
370,269,106,96,10,12,32,4,8,Bachenau,29.8125039.406,49.282711,9.196850999999999
519,357,99,156,18,16,48,4,8,Obergriesheim,29.8125039.507,49.2639902,9.203460999999999
616,458,218,109,35,28,39,13,11,Höchstberg,29.8125039.608,49.287211,9.228823
0,1079,371,403,40,71,128,31,28,Briefwahl Gundelsheim,29.8125039.B901,49.2815739,9.162461799999999
